case,row,column,covariance
prior,0,0,1.0
prior,0,1,0.7438930621376465
prior,0,2,0.3062259800580424
prior,0,3,0.06975808901308159
prior,0,4,0.008793628879684868
prior,0,5,0.0006134267461370622
prior,0,6,2.3679814680665676e-05
prior,1,0,0.7438930621376465
prior,1,1,1.0
prior,1,2,0.7438930621376465
prior,1,3,0.3062259800580424
prior,1,4,0.06975808901308159
prior,1,5,0.008793628879684868
prior,1,6,0.0006134267461370622
prior,2,0,0.3062259800580424
prior,2,1,0.7438930621376465
prior,2,2,1.0
prior,2,3,0.7438930621376465
prior,2,4,0.3062259800580424
prior,2,5,0.06975808901308159
prior,2,6,0.008793628879684868
prior,3,0,0.06975808901308159
prior,3,1,0.3062259800580424
prior,3,2,0.7438930621376465
prior,3,3,1.0
prior,3,4,0.7438930621376465
prior,3,5,0.3062259800580424
prior,3,6,0.06975808901308159
prior,4,0,0.008793628879684868
prior,4,1,0.06975808901308159
prior,4,2,0.3062259800580424
prior,4,3,0.7438930621376465
prior,4,4,1.0
prior,4,5,0.7438930621376465
prior,4,6,0.3062259800580424
prior,5,0,0.0006134267461370622
prior,5,1,0.008793628879684868
prior,5,2,0.06975808901308159
prior,5,3,0.3062259800580424
prior,5,4,0.7438930621376465
prior,5,5,1.0
prior,5,6,0.7438930621376465
prior,6,0,2.3679814680665676e-05
prior,6,1,0.0006134267461370622
prior,6,2,0.008793628879684868
prior,6,3,0.06975808901308159
prior,6,4,0.3062259800580424
prior,6,5,0.7438930621376465
prior,6,6,1.0
initial,0,0,0.9961070472137944
initial,0,1,0.7268036707976409
initial,0,2,0.264711933302193
initial,0,3,0.01395161780261632
initial,0,4,-0.03272041787616456
initial,0,5,-0.016475964593868592
initial,0,6,-0.0038692729715249456
initial,1,0,0.7268036707976409
initial,1,1,0.9249805193099931
initial,1,2,0.5616535565284633
initial,1,3,0.061245196011608494
initial,1,4,-0.11248141659610164
initial,1,5,-0.066225851810322
initial,1,6,-0.016475964593868592
initial,2,0,0.264711933302193
initial,2,1,0.5616535565284633
initial,2,2,0.5572984896827804
