observations,latent_variance,predictive_variance,sequential_latent_variance
0,1.0,1.25,1.0
1,0.2,0.45,0.19999999999999996
2,0.1111111111111111,0.3611111111111111,0.1111111111111111
5,0.047619047619047616,0.2976190476190476,0.047619047619047616
10,0.024390243902439025,0.27439024390243905,0.024390243902439025
20,0.012345679012345678,0.2623456790123457,0.012345679012345678
50,0.004975124378109453,0.25497512437810943,0.004975124378109453
100,0.0024937655860349127,0.2524937655860349,0.0024937655860349127
200,0.0012484394506866417,0.25124843945068664,0.0012484394506866424
500,0.0004997501249375312,0.2504997501249375,0.0004997501249375312
1000,0.00024993751562109475,0.2502499375156211,0.00024993751562109453
10000,2.499937501562461e-05,0.2500249993750156,2.4999375015624588e-05
